City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
336,Formosa,AR,76.98,mist,-26.1775,-58.1781,Hotel Portal del Sol
345,Monte Azul,BR,84.31,overcast clouds,-15.155,-42.8747,Hotel Delfino
353,Mount Isa,AU,76.77,overcast clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
354,Quarai,BR,85.8,broken clouds,-30.3875,-56.4514,Hotel Casino San Eugenio del Cuareim
355,Omboue,GA,80.6,broken clouds,-1.5746,9.2618,Hotel Olako
357,Tautira,PF,77.02,light rain,-17.7333,-149.15,Pension Oaoa
363,Gigmoto,PH,77.83,overcast clouds,13.7796,124.39,Cj's Travellers Inn
364,Santa Luzia,BR,89.74,broken clouds,-19.7697,-43.8514,Pousada Chao Earth
369,Nha Trang,VN,75.2,overcast clouds,12.25,109.1833,Sheraton Nha Trang Hotel & Spa
372,Nieuw Amsterdam,SR,86.02,scattered clouds,5.8833,-55.0833,Hotel Stardust
373,Zemio,CF,81.95,broken clouds,5.0314,25.1361,OCHA Office
375,Bac Lieu,VN,76.42,broken clouds,9.285,105.7244,Khách sạn Sài Gòn Bạc Liêu
377,Itacoatiara,BR,82.06,broken clouds,-3.1431,-58.4442,BBB Rooms Centro Itacoatiara AM
379,Sibolga,ID,75.94,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
382,Marsh Harbour,BS,75.88,scattered clouds,26.5412,-77.0636,Abaco Beach Resort
385,Puerto Leguizamo,CO,88.72,overcast clouds,-0.1934,-74.7819,la casona de juancho
388,Bodden Town,KY,83.93,clear sky,19.2833,-81.25,Will T Place
389,Port Blair,IN,79.25,few clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
394,Vila Velha,BR,89.55,clear sky,-20.3297,-40.2925,Quality Suites Vila Velha
396,Batticaloa,LK,77.52,overcast clouds,7.7102,81.6924,Grand Star Guest House
404,Atar,MR,78.67,overcast clouds,20.5169,-13.0499,Oumou Elghoura
410,Kerema,PG,77.11,overcast clouds,-7.9631,145.7785,Frena Lodge
418,Rayong,TH,82.72,scattered clouds,12.8333,101.4333,Suan Palm Garden View Hotel
420,Puerto Escondido,MX,83.98,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
422,Wajir,KE,89.06,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
429,Fuerte Olimpo,PY,80.71,overcast clouds,-21.0415,-57.8738,Hospedaje DAMI
431,Santa Cruz Cabralia,BR,84.43,scattered clouds,-16.2781,-39.0247,Puerto Princesa Inn
432,Tabou,CI,83.14,clear sky,4.423,-7.3528,hotêl doufoulougou
444,Coihaique,CL,84.81,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
445,Progreso,MX,84.31,scattered clouds,21.2833,-89.6667,Playa Linda Hotel
446,Samarai,PG,81.16,heavy intensity rain,-10.6167,150.6667,Nuli Sapi
447,Pitimbu,BR,81.19,scattered clouds,-7.4706,-34.8086,Reserva do Abiaí
448,Namatanai,PG,79.25,overcast clouds,-3.6667,152.4333,Seagulls Inn Namatani
450,Durban,ZA,81.52,clear sky,-29.8579,31.0292,Hilton Durban
452,Wang Noi,TH,87.03,light rain,14.2269,100.7155,วังน้อยรีสอร์ท
454,Winburg,ZA,78.01,broken clouds,-28.518,27.0093,Hotel Winburg
457,Salina Cruz,MX,84.06,clear sky,16.1667,-95.2,Amerik HOTEL
458,Miri,MY,75.34,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
463,Miranda,CO,80.73,overcast clouds,3.2499,-76.2281,unidiversidad organica la utopia
464,Berbera,SO,75.76,scattered clouds,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
468,Kismayo,SO,77.68,clear sky,-0.3582,42.5454,Agan-Hotel
475,Kathu,TH,86.7,scattered clouds,7.9178,98.3332,Novotel Phuket Resort
482,Namibe,AO,77.77,scattered clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
484,Lazaro Cardenas,MX,82.76,overcast clouds,17.9583,-102.2,Baymont by Wyndham Lazaro Cardenas
491,Concordia,AR,76.78,clear sky,-31.393,-58.0209,Palmar Hotel Casino
495,Kalmunai,LK,76.19,overcast clouds,7.4167,81.8167,VS Villa
505,Sokoni,TZ,80.94,broken clouds,-6.4333,39.55,Ujamaa Beach Resort
506,Poso,ID,76.35,overcast clouds,-1.3959,120.7524,Hotel 77 Poso
509,Fougamou,GA,78.76,moderate rain,-1.2154,10.5838,Résidence d'Hôtes Bapedy
510,Phetchabun,TH,77.88,few clouds,16.25,101.0833,วินธนา รีสอร์ท
513,Alto Araguaia,BR,80.58,overcast clouds,-17.3147,-53.2153,Araguaia Palace Hotel
517,Nhulunbuy,AU,83.01,scattered clouds,-12.2333,136.7667,East Arnhem Real Estate
519,Cap-Haitien,HT,78.75,few clouds,19.7578,-72.2042,Habitation Jouissant
521,Mana,GF,80.94,overcast clouds,5.6592,-53.7767,LE SAMANA
526,Mackay,AU,75.69,overcast clouds,-21.15,149.2,International Lodge Motel
527,Belmonte,BR,84.7,light rain,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
528,Areia Branca,BR,79.0,moderate rain,-4.9561,-37.1369,Areia Branca Apart Hotel
531,Acari,PE,81.34,overcast clouds,-15.4311,-74.6158,HOSPEDAJE XIMENA
534,Noumea,NC,81.0,few clouds,-22.2763,166.4572,Hôtel Le Lagon
540,Bosaso,SO,75.04,overcast clouds,11.2842,49.1816,Red Sea Hotel
541,Tessaoua,NE,76.96,clear sky,13.7574,7.9874,Benin Dan Kaabou Heberge
546,Big Bend,SZ,82.72,overcast clouds,-26.8167,31.9333,The Lebombo Villa B+B
548,Klerksdorp,ZA,76.78,overcast clouds,-26.8521,26.6667,Alte Welkom Guesthouse
551,Jaque,PA,80.46,light rain,7.5175,-78.1703,Aventuras Jaque S.A
552,Hobyo,SO,77.22,broken clouds,5.3505,48.5268,Halane Hotel and Restaurent
561,Viedma,AR,78.98,clear sky,-40.8135,-62.9967,Hotel Cristal
563,Itaqui,BR,80.13,overcast clouds,-29.1253,-56.5531,HOTEL BIASI - ITAQUI/RS
568,Conde,BR,80.06,light rain,-7.2597,-34.9075,Pousada Beija Flor
569,Itarema,BR,84.56,heavy intensity rain,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
572,Kulhudhuffushi,MV,80.04,few clouds,6.6221,73.07,Haajy Guest House 1
573,Manado,ID,75.97,scattered clouds,1.487,124.8455,Aryaduta Hotel
577,Palembang,ID,77.09,few clouds,-2.9167,104.7458,ASTON Palembang Hotel & Conference Center
583,Vaitape,PF,80.58,broken clouds,-16.5167,-151.75,Conrad Bora Bora Nui
585,Oriximina,BR,82.29,moderate rain,-1.7656,-55.8661,Pousada Tia Amélia
586,Banjar,ID,82.26,overcast clouds,-8.19,114.9675,The Hamsa Resort
593,Tevaitoa,PF,80.11,scattered clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
596,Itaituba,BR,87.96,broken clouds,-4.2761,-55.9836,Hotel Campos
599,Pak Phanang,TH,81.07,broken clouds,8.3511,100.202,Green Park Inn Hotel
604,Alta Floresta,BR,85.82,light rain,-9.8756,-56.0861,Floresta Amazonica Hotel
605,Kilindoni,TZ,81.1,clear sky,-7.9139,39.6668,Bustani B&B
608,Springbok,ZA,76.24,clear sky,-29.6643,17.8865,Undulata Country Lodge
610,Sinnamary,GF,79.27,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
613,Harper,LR,82.92,few clouds,4.375,-7.7169,Screensaver
615,Boyolangu,ID,76.64,overcast clouds,-8.1181,111.8935,Yos ega cv
628,Mucurici,BR,87.13,scattered clouds,-18.0933,-40.5158,Resort of Mucurici
631,Santana Do Livramento,BR,82.45,broken clouds,-30.8908,-55.5328,Hotel Emirates
635,Bathsheba,BB,79.41,broken clouds,13.2167,-59.5167,Atlantis Hotel
646,Singaraja,ID,81.97,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
648,Sharjah,AE,76.24,clear sky,25.3573,55.4033,Swiss Belhotel Sharjah
667,Corralillo,CU,83.59,clear sky,22.9819,-80.5856,Hostal De Pedri
672,Road Town,VG,82.49,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
