City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Description
172,Srandakan,-7.9386,110.2506,77.32,90,100,6.31,ID,overcast clouds
173,Calvillo,21.85,-102.7167,73.71,33,98,5.95,MX,overcast clouds
174,Cap Malheureux,-19.9842,57.6142,77.49,73,28,1.01,MU,scattered clouds
175,Fairbanks,64.8378,-147.7164,-11.4,74,0,0.0,US,snow
176,Erzin,36.9559,36.2,43.52,63,0,2.48,TR,clear sky
177,Victoria,22.2855,114.1577,68.38,87,7,8.01,HK,clear sky
178,Bafia,4.75,11.2333,85.21,23,100,2.86,CM,overcast clouds
179,Madimba,-10.4,40.3333,78.58,83,100,6.58,TZ,overcast clouds
180,Itoman,26.1247,127.6694,66.22,94,20,4.61,JP,few clouds
181,Camacupa,-12.0167,17.4833,67.53,86,58,5.61,AO,light rain
182,Baherden,38.4362,57.4316,53.69,57,100,5.03,TM,overcast clouds
183,Ponta Do Sol,32.6667,-17.1,61.43,76,52,3.76,PT,broken clouds
184,Narsaq,60.9167,-46.05,23.22,76,100,19.42,GL,overcast clouds
185,Hermanus,-34.4187,19.2345,70.9,77,3,9.44,ZA,clear sky
186,Cheyenne,41.14,-104.8203,24.19,83,100,17.27,US,overcast clouds
187,Coahuayana,18.7333,-103.6833,83.68,42,57,4.03,MX,broken clouds
188,San Policarpo,12.1791,125.5072,79.9,81,67,9.93,PH,broken clouds
189,Tezu,27.9167,96.1667,55.51,88,91,3.62,IN,overcast clouds
190,Scottsbluff,41.8666,-103.6672,34.03,65,0,11.99,US,clear sky
191,Taseyevo,57.2169,94.8978,-3.24,100,100,1.5,RU,overcast clouds
192,Rincon,32.296,-81.2354,51.85,46,20,10.36,US,few clouds
193,Nishihara,26.1842,127.7558,65.48,94,20,4.61,JP,mist
194,Acapulco,16.8634,-99.8901,82.22,74,0,6.91,MX,clear sky
195,Nelson Bay,-32.7167,152.15,73.0,83,14,1.01,AU,few clouds
196,Luderitz,-26.6481,15.1594,72.64,62,0,28.95,NA,clear sky
197,Tuatapere,-46.1333,167.6833,40.82,82,100,3.38,NZ,overcast clouds
198,Kununurra,-15.7667,128.7333,78.78,89,75,3.44,AU,broken clouds
199,Aden,12.7794,45.0367,76.93,64,2,7.43,YE,clear sky
200,Makakilo City,21.3469,-158.0858,64.72,84,0,4.61,US,clear sky
201,Souillac,-20.5167,57.5167,77.38,78,40,6.91,MU,scattered clouds
202,Illapel,-31.6308,-71.1653,78.13,49,1,8.95,CL,clear sky
203,Popondetta,-8.7537,148.2534,71.78,95,100,2.62,PG,overcast clouds
204,Suntar,62.1444,117.6319,-6.68,92,31,7.52,RU,scattered clouds
